종목명,항목,내용
방사선비파괴검사기능사,진로 및 전망,"- 전문 비파괴검사업체에 취업하거나 자체 검사시설을 갖춘 조선소, 철강업체,  중공업    및 선박제작업체, 건설회사, 가스용기제작업체 및 보일러제조회사 등에 진출할 수 있   다. - 6개 비파괴검사 분야 가운데 응시자수가 가장 많은데 상당수는 현재 종사자들이 공   인된 능력을 인정받고자 응시하는 것으로 보인다.  현 종사자가 아니더라도 자격증    취득시 취업이 유리하며 「산업안전보건법」에 따라 지정검사기관의 검사자로 고용   될 수도 있으며 자격"
방사선비파괴검사기능사,출제경향," X선 발생장치 조작법, 필름현상, 증감지선택과 취급법, 산란선의 제거방법, 투과도계 사용법, 시험편의 투과 지시 판별, 방사선 선량계의 사용법에 대한 평가 (공개문제를 참조)"
방사선비파괴검사기능사,취득방법,"① 시 행 처 : 한국산업인력공단 ② 관련학과 : 실업계 고등학교의 금속, 기계, 재료, 전기 전자 관련학과 ③ 훈련기관 : 일반사설학원 ④ 시험과목  - 필기 : 1. 방사선투과시험법 2. 방사선안전관리 관련규격 3.금속재료일반 및 용접 일반  - 실기 : 방사선투과작업 ⑤ 검정방법  - 필기 : 전과목 혼합, 객관식 60문항(60분)  - 실기 : 작업형(30분~1시간) ⑥ 합격기준  - 필기·실기 : 100점을 만접으로 하여 60점 이상 "
방수기능사,개요,"건축구조물의 안전도와 완성도를 높이기 위하여 지하도, 지붕, 벽, 욕조 등의 건축물에  방수작업을 하는 숙련기능인력을 양성하고자 자격제도 제정. "
방수기능사,변천과정,’74.10.16. 대통령령 제7283호’98.05.09. 대통령령 제15794호현재방수기능사2급 방수기능사방수기능사
방수기능사,수행직무,"건축구조물의 지하층, 지붕, 실내바닥, 벽체에 모르타르, 아스팔트 등의 각종 방수재를  바르거나 도포한다. "
방수기능사,실시기관 홈페이지,http://www.q-net.or.kr
방수기능사,실시기관명,한국산업인력공단 
방수기능사,위 자격취득자에 대한 법령상 우대현황,"순번법령명조문내역활용내용1건설산업기본법 시행령제13조 건설업의 등록기준(별표2)건설업의 등록기준2건축법 시행령제19조 공사감리건축공사감리3경찰공무원임용령제16조 특별채용의 요건특별채용의 자격4고등학교 졸업학력 검정고시 규칙제12조 과목면제고시합격자로 가늠 또는 과목면제5공무원임용시험령제31조 채용시험의 특전(별표10, 12)6급 이하 공무원 및 기능직공무원 채용시험 가산대상 자격증6공연법 시행규칙제6조의3 무대예술전문인 자격검정의 응시무대예술전문인의 자격검정에 응시하고자 하는 자의 자격7공연법 시행령제10조의2 무대예술전문인 자격검정의 응시기준(별표2)무대예술전문인 자격검정의 등급별 응시기준8공직자윤리법 시행령제34조 취업승인관할 공직자윤리위원회가 취업승인을 하는 경우9공직자윤리법의 시행에 관한 대법원규칙제37조 취업승인퇴직공직자의 취업승인 요건10공직자윤리법의 시행에 관한 헌법재판소규칙제20조 취업승인퇴직공직자의 취업승인 요건11교원자격검정령 시행규칙제9조 무시험검정의 신청실기교사무시험검정인 때에는 국가기술자격증 사본(해당과목에 한한다)을 첨부하여야 무시험자격12교육감 소속 지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정13국가공무원법제36조의2 채용시험의 가점채용시험의 가점14국가기술자격법제14조 국가기술자격 취득자에 대한 우대국가기술자격 취득자를 우대15국가기술자격법 시행규칙제21조 시험위원의 자격 등(별표16)시험위원의 자격16국가기술자격법 시행규칙제3조 응시자격(별표3, 4)산업기사 응시자격17국가기술자격법 시행령제10조 국가기술자격의 등급과 응시자격(별표1의2)기술·기능분야 국가기술자격의 응시자격18국가기술자격법 시행령제27조 국가기술자격취득자의 취업 등에 대한 우대채용·보수 및 승진 등에 있어 해당 직무분야의 국가기술자격취득자를 우대19국가를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준가격을 적용함에 있어 해당 노임단가에 그 노임단가의 100분의 15 이하에 해당하는 금액을 가산20국회인사규칙제20조 특별채용의 요건동종직무에 관한 자격증소지자를 특별채용하는 경우21군무원인사법 시행규칙제16조 시험과목의 일부 면제 등국가에서 실시한 각종 자격·면허시험에 합격한 사람의 자격이 임용예정 직급과 관련이 있는 경우에는 그 자격·면허시험에 이미 응시한 시험과목에 대한 시험은 면제22군무원인사법 시행규칙제27조 가산점(별표4)승진후보자 명부작성시 자격증 및 면허증 소지자 가산23군무원인사법 시행령제10조 특별채용 요건(별표4)특별채용시험에 의하여 신규채용할 수 있는 자격24군인사법 시행규칙제14조 부사관의 임용부사관의 자격25근로자직업능력 개발법 시행령제27조 직업능력개발훈련을 위하여 근로자를 가르칠 수 있는 사람직업능력개발훈련교사의 정의26근로자직업능력 개발법 시행령제28조 직업능력개발훈련교사의 자격 취득(별표1)직업능력개발훈련교사의자격 27근로자직업능력 개발법 시행령제38조 다기능기술자과정의 학생선발방법정원 내 특별전형대상자28근로자직업능력 개발법 시행령제44조 교원 등의 임용교원을 임용할 때 자격증 소지자 우대29기능장려법 시행령제3조 영업의 우선적 인ㆍ허가등영업의 우선적 인ㆍ허가등30독학에 의한 학위취득에 관한 법률 시행령제9조 시험과목면제 대상시험과목의 전부 또는 일부를 면제받을 수 있는 자31법원공무원규칙제19조 특별채용시험의 응시요건등(별표5의1)특별채용시험의 응시요건32병역법제53조 전시근로소집 대상 등전시근로소집 대상33병역법 시행령제79조 기간산업 분야 종사자 등의 산업기능요원 편입(별표2)기간산업분야종사자등의 산업기능요원 편입34병역법 시행령제83조 전문연구요원 및 산업기능요원이 종사할 해당 분야 등분야에 종사해야할 전문연구요원 및 산업기능요원35비상대비자원 관리법제2조 대상자원의 범위대상자원의 범위36산업안전보건법 시행규칙제80조의5 석면해체·제거업자의 인력·시설 및 장비기준(별표10의4)석면해체 제거업자의 인력기준37선거관리위원회 공무원규칙제29조 전직시험의 면제(별표13, 15)전직시험의 면제38선거관리위원회 공무원규칙제89조 채용시험의 특전(별표14, 15)자격증의 소지자가 6급이하 공무원채용시험에 응시하는 경우 점수 가산39선박직원법 시행령제11조 시험과목필기시험의 해당 과목을 면제40소방기본법 시행규칙제12조 화재조사전담부서의 설치ㆍ운영 등화재조사전담부서의 장41소방시설 설치유지 및 안전관리에 관한 법률 시행령제8조 소방검사자의 자격소방공무원으로서 소방검사자의 자격42에너지이용 합리화법 시행령제30조 에너지절약전문기업의 등록 등(별표2)에너지절약전문기업으로 등록을 하려는 자43에너지이용 합리화법 시행령제39조 진단기관의 지정기준(별표4)진단기관이보유하여야하는기술인력 44장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력45중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원46지방공무원 임용령제17조 특별임용의 요건특별임용 하려는 경우47지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산48지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정49지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산50지방자치단체를 당사자로 하는 계약에 관한 법률제57조 주민참여감독자의 자격주민대표자의추천을받을수있는사람의자격기준 51지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산52지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원53지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원54행정안전부 및 소방방재청 소관 비상대비자원관리법 시행규칙제2조 인력자원의 관리직종(별표)인력자원 관리직종의 자격 구분표55헌법재판소 공무원 수당규칙제6조 특수업무수당(별표2)특수업무수당지급"
방수기능사,진로 및 전망,"자격취득에 따른 인센티브는 거의 없으며 실제 건설현장에서 기능을 습득하여 방수공으 로 취업하는 것이 일반적이다.  작업의 특성상 일정한 회사에 상용직으로 고용되지 않 고 전문건설업체나 하도급자의 의뢰에 따라 작업을 수행한다. 방수공사는 90% 이상이 신축공사이며, 일부가 보수공사이기 때문에 신축공사의 증감에  따라 영향을 많이 받는다.  최근 신축공사가 많이 감소하여 방수공의 일자리도 많이 감 소하였으나 건설경기가 서서히 회복되면서 이들에 대한 고용은 서서히 증가할 전망이 다. "
방수기능사,출제경향," 건축물의 지하층, 지붕, 바닥, 벽체에 모르타르, 아스팔트 등의 각종 방수재를 바르거나 도포하는 능력을 평가- 공개문제 참조"
방수기능사,취득방법,① 시 행 처 : 한국산업인력공단 ② 시험과목 - 실기 : 방수작업 ③ 검정방법 - 실기 : 작업형(2시간30분 정도) ④ 합격기준 - 100점 만점에 60점 이상 
배관기능사,개요,"건축배관분야와 플랜트 배관분야는 일상생활과 밀접한 설비로 급수설비, 배수 및 통기설비, 급탕설비, 냉·난방설비, 공기의 청정, 유통과정 등을 제어하는 공기조화설비 외에 위생기구설비, 주방설비, 소화설비 등과 발전소, 정유공장, 조선, 화학공장의 집진장치배관, 기송배관, 압축공 기배관, 화학공업용배관, 발전소배관 등의 제반 공장배관설비에서 정확하고 효율적인 배관시설을 시공하여 생산성 및 안전성을 확보하기 위해 전문기능인력 양성이 필요하게 되어 자격 제도 제정 "
배관기능사,변천과정," ’74.10.16. 대통령령 제7283호 ’77.12.31. 대통령령 제8799호’91.10.31. 대통령령 제13494호’98.05.09. 대통령령 제15794호’02.04.27. 대통령령 제17591호’04.12.31. 노동부령 제217호현재배관기능사2급배관기능사2급 건축,공업배관기능사2급 중 택1건축,공업배관기능사중 택1건축,플랜트배관기능사중 택1배관기능사배관기능사배관기능사2급(위생)배관기능사2급(공업) "
배관기능사,수행직무,"생활환경의 수준 향상에 따른 각종 건축배관 설비(급배수, 통기 및 급탕, 냉난방 및 공기조화설비, 소화설비, 가스설비 등)과 플랜트 설비에서의 생산배관인 프로세스배관 및 냉각수, 연료 등을 공급하는 유틸리티 배관 설비 등을 제도 및 재료를 산출을 하고, 시공, 검사 및 유지관리하는 직무 수행 "
배관기능사,실시기관 홈페이지,http://www.q-net.or.kr
배관기능사,실시기관명,한국산업인력공단 
배관기능사,위 자격취득자에 대한 법령상 우대현황,"순번법령명조문내역활용내용1건설기계관리법 시행규칙제33조 검사대행자등(별표9)건설기계검사대행자의인력기준 2건설산업기본법 시행령제13조 건설업의 등록기준(별표2)건설업의 등록기준3경찰공무원임용령제16조 특별채용의 요건특별채용의 자격4고등학교 졸업학력 검정고시 규칙제12조 과목면제고시합격자로 가늠 또는 과목면제5골재채취법 시행령제19조 골재채취업의 등록(별표1)골재채취업의 등록기준6공무원임용시험령제31조 채용시험의 특전(별표10, 12)6급 이하 공무원 및 기능직공무원 채용시험 가산대상 자격증7공연법 시행규칙제6조의3 무대예술전문인 자격검정의 응시무대예술전문인의 자격검정에 응시하고자 하는 자의 자격8공연법 시행령제10조의2 무대예술전문인 자격검정의 응시기준(별표2)무대예술전문인 자격검정의 등급별 응시기준9공직자윤리법 시행령제34조 취업승인관할 공직자윤리위원회가 취업승인을 하는 경우10공직자윤리법의 시행에 관한 대법원규칙제37조 취업승인퇴직공직자의 취업승인 요건11공직자윤리법의 시행에 관한 헌법재판소규칙제20조 취업승인퇴직공직자의 취업승인 요건12광산보안법 시행규칙제35조 보안감독계원보안감독계원 선임13교원자격검정령 시행규칙제9조 무시험검정의 신청실기교사무시험검정인 때에는 국가기술자격증 사본(해당과목에 한한다)을 첨부하여야 무시험자격14교육감 소속 지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정15국가공무원법제36조의2 채용시험의 가점채용시험의 가점16국가기술자격법제14조 국가기술자격 취득자에 대한 우대국가기술자격 취득자를 우대17국가기술자격법 시행규칙제21조 시험위원의 자격 등(별표16)시험위원의 자격18국가기술자격법 시행규칙제3조 응시자격(별표3, 4)산업기사 응시자격19국가기술자격법 시행령제10조 국가기술자격의 등급과 응시자격(별표1의2)기술·기능분야 국가기술자격의 응시자격20국가기술자격법 시행령제27조 국가기술자격취득자의 취업 등에 대한 우대채용·보수 및 승진 등에 있어 해당 직무분야의 국가기술자격취득자를 우대21국가를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준가격을 적용함에 있어 해당 노임단가에 그 노임단가의 100분의 15 이하에 해당하는 금액을 가산22국회인사규칙제20조 특별채용의 요건동종직무에 관한 자격증소지자를 특별채용하는 경우23군무원인사법 시행규칙제16조 시험과목의 일부 면제 등국가에서 실시한 각종 자격·면허시험에 합격한 사람의 자격이 임용예정 직급과 관련이 있는 경우에는 그 자격·면허시험에 이미 응시한 시험과목에 대한 시험은 면제24군무원인사법 시행규칙제27조 가산점(별표4)승진후보자 명부작성시 자격증 및 면허증 소지자 가산25군무원인사법 시행령제10조 특별채용 요건(별표4)특별채용시험에 의하여 신규채용할 수 있는 자격26군인사법 시행규칙제14조 부사관의 임용부사관의 자격27근로자직업능력 개발법 시행령제27조 직업능력개발훈련을 위하여 근로자를 가르칠 수 있는 사람직업능력개발훈련교사의 정의28근로자직업능력 개발법 시행령제28조 직업능력개발훈련교사의 자격 취득(별표1)직업능력개발훈련교사의자격 29근로자직업능력 개발법 시행령제38조 다기능기술자과정의 학생선발방법정원 내 특별전형대상자30근로자직업능력 개발법 시행령제44조 교원 등의 임용교원을 임용할 때 자격증 소지자 우대31기능장려법 시행령제3조 영업의 우선적 인ㆍ허가등영업의 우선적 인ㆍ허가등32독학에 의한 학위취득에 관한 법률 시행령제9조 시험과목면제 대상시험과목의 전부 또는 일부를 면제받을 수 있는 자33법원공무원규칙제19조 특별채용시험의 응시요건등(별표5의1)특별채용시험의 응시요건34병역법제53조 전시근로소집 대상 등전시근로소집 대상35병역법 시행령제79조 기간산업 분야 종사자 등의 산업기능요원 편입(별표2)기간산업분야종사자등의 산업기능요원 편입36병역법 시행령제81조 농어업 분야 종사자의 산업기능요원 편입농어업 분야의 산업기능요원에 편입할 수 있는 사람37병역법 시행령제83조 전문연구요원 및 산업기능요원이 종사할 해당 분야 등분야에 종사해야할 전문연구요원 및 산업기능요원38비상대비자원 관리법제2조 대상자원의 범위대상자원의 범위39산업안전보건법 시행규칙제74조 검사원의 자격검사원의 자격40선거관리위원회 공무원규칙제21조 특별채용의 요건(별표4)동종직무에 관한 자격증소지자를 특별채용41선거관리위원회 공무원규칙제29조 전직시험의 면제(별표13, 15)전직시험의 면제42선거관리위원회 공무원규칙제89조 채용시험의 특전(별표14, 15)자격증의 소지자가 6급이하 공무원채용시험에 응시하는 경우 점수 가산43선박직원법 시행령제11조 시험과목필기시험의 해당 과목을 면제44소방공무원임용령제15조 특별채용의 요건등특별채용의 요건45소방시설 설치유지 및 안전관리에 관한 법률 시행령제8조 소방검사자의 자격소방공무원으로서 소방검사자의 자격46소음ㆍ진동관리법 시행령제10조 소음도 검사기관의 지정기준(별표1)소음도 검사기관의 지정기준47송유관안전관리법시행령제4조 안전관리자의 자격등(별표1)안전관리자의 기술자격48승강기시설 안전관리법 시행규칙제12조 기술인력 및 보수설비의 기준(별표5)승강기 보수를 업으로 하려는 자가 갖추어야 할 기술인력49에너지이용 합리화법 시행령제30조 에너지절약전문기업의 등록 등(별표2)에너지절약전문기업으로 등록을 하려는 자50에너지이용 합리화법 시행령제39조 진단기관의 지정기준(별표4)진단기관이보유하여야하는기술인력 51열사용기자재 관리규칙제35조 검사의 면제(별표10의3)보일러 및 압력용기의 제조업자에게 필요한 인력52유해·위험작업의 취업제한에 관한 규칙제3조 자격ㆍ면허등이 필요한 작업의 범위등(별표1)규정에 의한 취업을 제한하는 작업과 그 작업에 필요한 자격53장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력54전기사업법제73조 전기안전관리자의 선임 등전기설비의 공사·유지 및 운용에 관한 안전관리업무를 수행하게 하기 위하여 필요한 전기안전관리자55전기사업법 시행규칙제40조 전기안전관리자의 선임 등(별표12)안전관리자와 안전관리보조원으로 구분하여 선임56전기사업법 시행규칙제42조 전기안전관리자 자격의 완화전기안전관리자로 선임할 수 있는 사람의 자격기준57전기사업법 시행규칙제43조 전기안전관리자의 직무대행자의 지정요건전기안전관리자의 직무대행자58전기사업법 시행규칙제44조 전기안전관리자의 자격 및 직무(별표12)안전관리보조원의 자격59주차장법 시행령제12조의6 보수업의 등록기준(별표3)기계식주차장치 보수업을 등록하려는 자가 갖추어야 할 기술인력60중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원61지방공무원 임용령제17조 특별임용의 요건특별임용 하려는 경우62지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산63지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정64지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산65지방자치단체를 당사자로 하는 계약에 관한 법률제57조 주민참여감독자의 자격주민대표자의추천을받을수있는사람의자격기준 66지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산67지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원68지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원69해양환경관리법 시행규칙제23조 오염물질저장시설의 설치ㆍ운영기준(별표10)오염물질저장시설의 설치기준70해양환경관리법 시행규칙제74조 업무대행자의 지정(별표28, 29)해양환경측정기기의 정도검사·성능시험·검정 업무 대행자 지정기준71행정안전부 및 소방방재청 소관 비상대비자원관리법 시행규칙제2조 인력자원의 관리직종(별표)인력자원 관리직종의 자격 구분표72헌법재판소 공무원 수당규칙제6조 특수업무수당(별표2)특수업무수당지급73환경분야 시험·검사 등에 관한 법률 시행규칙제10조 검사대행자의 지정 등(별표6)검사대행자가 갖추어야 하는 기술능력"
배관기능사,진로 및 전망,"주로 건축배관설비공사업체,  플랜트설비공사업체, 덕트시공업체, 소방설비업체, 고압가스냉동기제조업체, 상· 하수도공사업체, 가스시설공사업체, 특정열사용기자재시공업체, 선박건조 및 수리업 체, 오수·분뇨 정화설계시공업체, 보일러시공전문업체, 건설업체 등으로 진출할 수 있다. 건축배관은 일상생활과 밀접한 관련이 있는 설비로 생활용수로 공급하는 급수설비, 하수를 방류하는 배수 및 통기설비, 더운물을 공급하는 급탕설비, 실내온도를 조절하 는 냉·난방설비, 공기 청정, 유통과정 등을 제어하는 공기조화설비 외에 위생기구 설비, 주방설비, 소화설비 등이 있는데, 대부분 소규모 영세업체가 담당하고 있다. 건축배관분야는 경제발전과 소득증대에 따라 신축아파트, 대형 사무용 빌딩과 문화체 육시설의 증가 등 여러 가지 요인으로 수요가 꾸준히 증가할 것으로 보인다. 플랜트배관분야에는 발전소, 정유공장, 조선, 화학공장의 집진장치배관, 기송배관, 압출공기배관, 화학공업용배관, 발전소배관 등의 제반 공장설비 등이 있는데, 주로 규모가 큰 업체가 담당하고 있다. 송유관사업법」에 의한 송유관사업체의 안전관리원으 로 고용될 수 있다. 최근 각종 공장시설이 첨단화되면서 설비분야의 수요증가 및 고품질화 되어감에 따라 공업배관분야를 담당할 기능인력에 대한 수요도 지속적으로 증가할 전망이다. 배관분야로 진출하려는 젊은 기능공이 줄어들고 있어 인력부족이 예상되고 있다. 한편 배관공으로 취업하는데 있어 자격이 필수적인 것은 아니지만 고용안정, 고임금 혹은 자영을 위해 취득해두면 유리할 것으로 보인다. 특히 플래트배관공이나 원자력배관공 등은 상당한 기술을 필요로 하 기 때문에고숙련공을 필요로 하고 있다 "
배관기능사,출제경향,"* 배관설비 CAD 작업-표준시간 : 3시간, 연장시간 : 없음 - 작업내용 : A4 용지에 주어진 도면을 보고, 주어진 도면이 입체도(부분조립도)일 경우 평면도나 정면도 또는 평면도와 정면도로 제도하거나 주어진 도면이 평면도와 정면도일 경우 입체도(부분 조립도)로 제도하여 출력하여 제출 * 배관작업 - 표준시간 : 3시간 30분, 연장시간 :없음 - 작업내용 : 강관, 동관, PVC관, 스텐레스 주름관 등 관 이음작업 등에 대한 평가"
배관기능사,취득방법,"① 시 행 처 : 한국산업인력공단 ② 관련학과 : 실업계 고등학교의 배관, 배관용접, 산업설비, 공업설비 및              기계설비 등 관련과③ 시험과목   - 필기     1. 배관시공 및 안전관리     2. 배관공작 및 재료     3. 기계제도(비절삭부분)   - 실기 : 배관작업④ 검정방법   - 필기 : 전 과목 혼합,  객관식 60문항(60분)    - 실기 : 작업형(6시간정도) ⑤ 합격기준   - 필기·실기 : 100점을 만점으로 하여 60점이상 "
버섯종균기능사,개요,"버섯을 재배하기 위해서는 원균을 배양, 증식시켜 접종원을 만들고, 그 접종원을 배지에 배양하여 종균을 만드는 복잡한 과정을 거치기 때문에 전문적인 지식을 필요로 한다. 우량 버섯종균의 생산과 버섯 재배기술을 개발·보급하여 농가부업과 소득증대에 이바지 할 수 있는 지능인력을 양성하고자 함. "
버섯종균기능사,변천과정,’83.12.20.대통령령 제11281호’91.10.31.대통령령 제13494호’98.05.09. 대통령령 제15794호현재버섯종묘기능사2급버섯종묘기능사버섯종균기능사버섯종균기능사
버섯종균기능사,수행직무,"버섯종균에 관한 숙련기능을 가지고 버섯 원균을 증식시켜 접종원을 만들고, 톱밥, 볍집 등에 접종원을 투입하여 순수하게 배양·증식시켜, 버섯재배 농가에서 필요로 하는 우량한 버섯종균을 제조하는 직무수행. "
버섯종균기능사,실시기관 홈페이지,http://www.q-net.or.kr
버섯종균기능사,실시기관명,한국산업인력공단 
버섯종균기능사,위 자격취득자에 대한 법령상 우대현황,"순번법령명조문내역활용내용1경찰공무원임용령제16조 특별채용의 요건특별채용의 자격2고등학교 졸업학력 검정고시 규칙제12조 과목면제고시합격자로 가늠 또는 과목면제3공무원임용시험령제31조 채용시험의 특전(별표10, 12)6급 이하 공무원 및 기능직공무원 채용시험 가산대상 자격증4공직자윤리법 시행령제34조 취업승인관할 공직자윤리위원회가 취업승인을 하는 경우5공직자윤리법의 시행에 관한 대법원규칙제37조 취업승인퇴직공직자의 취업승인 요건6공직자윤리법의 시행에 관한 헌법재판소규칙제20조 취업승인퇴직공직자의 취업승인 요건7교원자격검정령 시행규칙제9조 무시험검정의 신청실기교사무시험검정인 때에는 국가기술자격증 사본(해당과목에 한한다)을 첨부하여야 무시험자격8교육감 소속 지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정9국가공무원법제36조의2 채용시험의 가점채용시험의 가점10국가기술자격법제14조 국가기술자격 취득자에 대한 우대국가기술자격 취득자를 우대11국가기술자격법 시행규칙제21조 시험위원의 자격 등(별표16)시험위원의 자격12국가기술자격법 시행규칙제3조 응시자격(별표3, 4)산업기사 응시자격13국가기술자격법 시행령제10조 국가기술자격의 등급과 응시자격(별표1의2)기술·기능분야 국가기술자격의 응시자격14국가기술자격법 시행령제27조 국가기술자격취득자의 취업 등에 대한 우대채용·보수 및 승진 등에 있어 해당 직무분야의 국가기술자격취득자를 우대15국가를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준가격을 적용함에 있어 해당 노임단가에 그 노임단가의 100분의 15 이하에 해당하는 금액을 가산16국회인사규칙제20조 특별채용의 요건동종직무에 관한 자격증소지자를 특별채용하는 경우17군무원인사법 시행규칙제16조 시험과목의 일부 면제 등국가에서 실시한 각종 자격·면허시험에 합격한 사람의 자격이 임용예정 직급과 관련이 있는 경우에는 그 자격·면허시험에 이미 응시한 시험과목에 대한 시험은 면제18군무원인사법 시행규칙제27조 가산점(별표4)승진후보자 명부작성시 자격증 및 면허증 소지자 가산19군무원인사법 시행령제10조 특별채용 요건(별표4)특별채용시험에 의하여 신규채용할 수 있는 자격20군인사법 시행규칙제14조 부사관의 임용부사관의 자격21근로자직업능력 개발법 시행령제27조 직업능력개발훈련을 위하여 근로자를 가르칠 수 있는 사람직업능력개발훈련교사의 정의22근로자직업능력 개발법 시행령제28조 직업능력개발훈련교사의 자격 취득(별표1)직업능력개발훈련교사의자격 23근로자직업능력 개발법 시행령제38조 다기능기술자과정의 학생선발방법정원 내 특별전형대상자24근로자직업능력 개발법 시행령제44조 교원 등의 임용교원을 임용할 때 자격증 소지자 우대25기능장려법 시행령제3조 영업의 우선적 인ㆍ허가등영업의 우선적 인ㆍ허가등26독학에 의한 학위취득에 관한 법률 시행령제9조 시험과목면제 대상시험과목의 전부 또는 일부를 면제받을 수 있는 자27법원공무원규칙제19조 특별채용시험의 응시요건등(별표5의1)특별채용시험의 응시요건28병역법제53조 전시근로소집 대상 등전시근로소집 대상29병역법 시행령제79조 기간산업 분야 종사자 등의 산업기능요원 편입(별표2)기간산업분야종사자등의 산업기능요원 편입30병역법 시행령제83조 전문연구요원 및 산업기능요원이 종사할 해당 분야 등분야에 종사해야할 전문연구요원 및 산업기능요원31비상대비자원 관리법제2조 대상자원의 범위대상자원의 범위32산림자원의 조성 및 관리에 관한 법률 시행령제12조 종묘생산업자의 자격 등종묘생산업자의 자격33선박직원법 시행령제11조 시험과목필기시험의 해당 과목을 면제34장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력35종자산업법 시행령제45조 종자관리사의 자격기준종자관리사의 자격36중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원37지방공무원 임용령제17조 특별임용의 요건특별임용 하려는 경우38지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산39지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정40지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산41지방자치단체를 당사자로 하는 계약에 관한 법률제57조 주민참여감독자의 자격주민대표자의추천을받을수있는사람의자격기준 42지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산43지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원44지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원45헌법재판소 공무원 수당규칙제6조 특수업무수당(별표2)특수업무수당지급"
